file,epoch,train_loss,val_loss,Se,Sp,F1,ACC,AUC,epoch_time_s
logs_chase.txt,1,0.2228,0.167,0.2278,0.9943,0.3473,0.946,0.869,24.0
logs_chase.txt,2,0.1568,0.1341,0.3965,0.9918,0.5221,0.9542,0.9189,23.4
logs_chase.txt,3,0.1454,0.3506,0.4318,0.8616,0.2475,0.8345,0.7559,24.7
logs_chase.txt,4,0.137,0.1283,0.613,0.9808,0.6456,0.9576,0.9411,23.7
logs_chase.txt,5,0.1296,0.1059,0.61,0.985,0.6657,0.9614,0.9614,23.7
logs_chase.txt,6,0.1266,0.0999,0.6556,0.9832,0.688,0.9625,0.9654,23.7
logs_chase.txt,7,0.1204,0.106,0.7221,0.9767,0.6979,0.9606,0.9678,23.6
logs_chase.txt,8,0.1181,0.0947,0.68,0.9843,0.7108,0.9651,0.971,23.5
logs_chase.txt,9,0.1106,0.0898,0.6459,0.9867,0.7008,0.9652,0.9723,23.8
logs_chase.txt,10,0.1074,0.1018,0.7535,0.9776,0.7225,0.9635,0.9721,23.5
logs_chase.txt,11,0.1064,0.0909,0.6295,0.9888,0.7008,0.9661,0.973,23.8
logs_chase.txt,12,0.1034,0.0888,0.7023,0.9841,0.7244,0.9663,0.974,23.8
logs_chase.txt,13,0.1014,0.0884,0.7935,0.9777,0.7467,0.9661,0.978,23.8
logs_chase.txt,14,0.1001,0.0825,0.677,0.9883,0.7314,0.9687,0.9752,23.5
logs_chase.txt,15,0.0969,0.0837,0.6036,0.9919,0.7005,0.9675,0.9782,23.5
logs_chase.txt,16,0.0979,0.0771,0.7353,0.9861,0.7571,0.9703,0.9813,23.3
logs_chase.txt,17,0.0946,0.1034,0.8056,0.973,0.7302,0.9625,0.9724,23.7
logs_chase.txt,18,0.0921,0.0769,0.7397,0.9852,0.7548,0.9697,0.9809,23.4
logs_chase.txt,19,0.0919,0.0805,0.7218,0.9855,0.7453,0.9689,0.9785,23.4
logs_chase.txt,20,0.0914,0.0767,0.7684,0.9836,0.7636,0.97,0.9833,23.4
logs_chase.txt,21,0.0891,0.0783,0.7496,0.9841,0.755,0.9693,0.981,23.6
logs_chase.txt,22,0.0896,0.0783,0.6076,0.9924,0.7065,0.9682,0.9817,23.4
logs_chase.txt,23,0.0909,0.0793,0.7983,0.9808,0.7662,0.9693,0.9821,23.4
logs_chase.txt,24,0.0868,0.0718,0.6734,0.9908,0.7437,0.9708,0.9845,25.9
logs_chase.txt,25,0.0845,0.0927,0.795,0.9761,0.7396,0.9647,0.9779,25.9
logs_chase.txt,26,0.0887,0.081,0.8378,0.977,0.7689,0.9683,0.9848,23.8
logs_chase.txt,27,0.0865,0.0835,0.8343,0.9756,0.7596,0.9667,0.9822,23.4
logs_chase.txt,28,0.0864,0.0733,0.7868,0.9834,0.7738,0.971,0.9841,23.3
logs_chase.txt,29,0.0834,0.0829,0.8282,0.9773,0.7647,0.9679,0.9833,23.7
logs_chase.txt,30,0.0861,0.0723,0.8087,0.9824,0.7811,0.9714,0.9855,23.6
logs_chase.txt,31,0.085,0.0768,0.7764,0.9833,0.767,0.9703,0.9832,23.3
logs_chase.txt,32,0.0844,0.0827,0.8569,0.974,0.764,0.9666,0.9851,23.5
logs_chase.txt,33,0.0861,0.0757,0.7057,0.988,0.7494,0.9703,0.9817,23.6
logs_chase.txt,34,0.0838,0.0746,0.7935,0.983,0.7758,0.9711,0.9837,24.9
logs_chase.txt,35,0.0834,0.0757,0.7631,0.984,0.7629,0.9701,0.983,23.4
logs_chase.txt,36,0.0817,0.0758,0.8238,0.9795,0.7742,0.9697,0.9848,23.4
logs_chase.txt,37,0.0791,0.0705,0.7466,0.987,0.7699,0.9719,0.9852,23.4
logs_chase.txt,38,0.0805,0.0731,0.8202,0.9804,0.777,0.9703,0.9852,23.5
logs_chase.txt,39,0.0815,0.0725,0.8108,0.9816,0.7777,0.9708,0.9858,24.9
logs_chase.txt,40,0.0797,0.0767,0.8341,0.9784,0.7742,0.9693,0.9854,23.8
logs_chase_final.txt,1,0.2093,0.138,0.3194,0.9947,0.4569,0.9522,0.9093,25.5
logs_chase_final.txt,2,0.1524,0.1289,0.2533,0.9961,0.3865,0.9493,0.9446,24.3
logs_chase_final.txt,3,0.1368,0.1317,0.785,0.9608,0.6631,0.9497,0.9601,24.4
logs_chase_final.txt,4,0.1317,0.0993,0.5497,0.9908,0.6518,0.963,0.9639,24.2
logs_chase_final.txt,5,0.1227,0.1047,0.5513,0.9896,0.6463,0.962,0.9595,24.3
logs_chase_final.txt,6,0.1178,0.1309,0.8466,0.9572,0.6819,0.9502,0.9735,25.0
logs_chase_final.txt,7,0.1093,0.1033,0.8142,0.9719,0.7297,0.962,0.9753,24.3
logs_chase_final.txt,8,0.1059,0.0868,0.7712,0.9792,0.7413,0.9661,0.9781,24.4
logs_chase_final.txt,9,0.1034,0.0942,0.751,0.9795,0.7306,0.9651,0.9765,24.3
logs_chase_final.txt,10,0.1022,0.0817,0.6501,0.99,0.7226,0.9685,0.9783,24.3
logs_chase_final.txt,11,0.098,0.1194,0.8558,0.9608,0.7018,0.9542,0.9761,24.3
logs_chase_final.txt,12,0.0964,0.0759,0.7525,0.9846,0.7597,0.97,0.9822,40.5
logs_chase_final.txt,13,0.0939,0.0775,0.6753,0.9893,0.7365,0.9695,0.9799,52.6
logs_chase_final.txt,14,0.0956,0.0813,0.799,0.9792,0.7582,0.9679,0.9821,52.7
logs_chase_final.txt,15,0.0961,0.0857,0.8385,0.975,0.7586,0.9664,0.9821,52.7
logs_chase_final.txt,16,0.0916,0.0827,0.8087,0.9784,0.7597,0.9678,0.9821,52.9
logs_chase_final.txt,17,0.0929,0.0818,0.8273,0.9777,0.7666,0.9682,0.9835,52.9
logs_chase_final.txt,18,0.0919,0.0885,0.8787,0.9698,0.7551,0.9641,0.9839,52.8
logs_chase_final.txt,19,0.0864,0.0766,0.7296,0.9863,0.7545,0.9701,0.9811,52.8
logs_chase_final.txt,20,0.0909,0.0795,0.8298,0.978,0.7693,0.9686,0.9839,52.4
logs_chase_final.txt,21,0.0885,0.0807,0.8462,0.9762,0.7691,0.968,0.9843,52.9
logs_chase_final.txt,22,0.0869,0.0796,0.7884,0.9812,0.7627,0.9691,0.9814,53.1
logs_chase_final.txt,23,0.0872,0.0804,0.8282,0.9783,0.7699,0.9688,0.9844,53.1
logs_chase_final.txt,24,0.0883,0.0769,0.8548,0.977,0.778,0.9693,0.9853,53.0
logs_chase_final.txt,25,0.0849,0.0699,0.8094,0.9832,0.7862,0.9723,0.9865,52.7
logs_chase_final.txt,26,0.0854,0.0886,0.8558,0.9724,0.7553,0.9651,0.9846,53.5
logs_chase_final.txt,27,0.085,0.0697,0.812,0.9829,0.7857,0.9721,0.9871,53.1
logs_chase_final.txt,28,0.0856,0.0729,0.8211,0.981,0.7805,0.9709,0.9851,52.8
logs_chase_final.txt,29,0.0838,0.0774,0.8447,0.9776,0.7758,0.9692,0.9858,28.6
logs_chase_final.txt,30,0.083,0.0813,0.8295,0.9781,0.7698,0.9687,0.9826,24.4
logs_chase_final.txt,31,0.0845,0.0787,0.8529,0.9764,0.7738,0.9686,0.9856,24.5
logs_chase_final.txt,32,0.0807,0.0791,0.853,0.9774,0.7791,0.9695,0.9868,24.5
logs_chase_final.txt,33,0.0817,0.0748,0.8266,0.9794,0.7751,0.9698,0.985,24.2
logs_chase_final.txt,34,0.0828,0.0724,0.8247,0.9807,0.7813,0.9709,0.9863,24.3
logs_chase_final.txt,35,0.0842,0.0722,0.8293,0.9808,0.7843,0.9713,0.9865,24.3
logs_chase_rerun.txt,1,0.1904,0.1363,0.5279,0.9804,0.5803,0.9519,0.9283,24.2
logs_chase_rerun.txt,2,0.1462,0.1077,0.6825,0.979,0.6845,0.9604,0.9606,23.9
logs_chase_rerun.txt,3,0.1348,0.1091,0.5717,0.9878,0.6521,0.9616,0.9536,23.8
logs_chase_rerun.txt,4,0.1234,0.1185,0.7331,0.974,0.6919,0.9589,0.9605,23.8
logs_chase_rerun.txt,5,0.1159,0.092,0.7298,0.9819,0.73,0.966,0.9743,23.8
logs_chase_rerun.txt,6,0.1104,0.0871,0.6612,0.9879,0.7182,0.9673,0.974,23.8
logs_chase_rerun.txt,7,0.1068,0.1137,0.8508,0.964,0.7133,0.9569,0.9764,23.8
logs_chase_rerun.txt,8,0.1065,0.0776,0.6875,0.9884,0.7395,0.9695,0.9808,23.7
logs_chase_rerun.txt,9,0.1016,0.0807,0.6942,0.9867,0.7338,0.9683,0.9787,23.8
logs_chase_rerun.txt,10,0.098,0.0866,0.8234,0.9768,0.7597,0.9672,0.982,24.0
logs_chase_rerun.txt,11,0.0964,0.0816,0.786,0.9809,0.7592,0.9686,0.9826,23.9
logs_chase_rerun.txt,12,0.091,0.0838,0.7984,0.978,0.751,0.9666,0.9824,23.8
logs_drive.txt,1,0.1855,0.1029,0.7076,0.9858,0.7584,0.963,0.9737,27.4
logs_drive.txt,2,0.1382,0.1001,0.7769,0.9798,0.7759,0.9632,0.9769,26.8
logs_drive.txt,3,0.1287,0.0904,0.6876,0.9898,0.7633,0.965,0.9797,27.3
logs_drive.txt,4,0.1177,0.0869,0.7283,0.9886,0.7847,0.9672,0.9806,27.4
logs_drive.txt,5,0.1176,0.0813,0.7487,0.9875,0.793,0.9679,0.9838,27.8
logs_drive.txt,6,0.1156,0.081,0.7828,0.985,0.8027,0.9684,0.9844,27.3
logs_drive.txt,7,0.1152,0.0826,0.7359,0.9885,0.7894,0.9678,0.9822,27.5
logs_drive.txt,8,0.1135,0.0805,0.8178,0.981,0.8056,0.9676,0.9859,27.5
logs_drive.txt,9,0.109,0.0794,0.7535,0.9881,0.799,0.9689,0.9847,27.2
logs_drive.txt,10,0.1075,0.0817,0.7991,0.9832,0.8044,0.9681,0.984,27.6
logs_drive.txt,11,0.1081,0.0778,0.7938,0.9846,0.8077,0.969,0.9851,27.5
logs_drive.txt,12,0.1065,0.0775,0.7676,0.987,0.8022,0.969,0.9869,27.4
logs_drive.txt,13,0.1073,0.0801,0.7723,0.9858,0.7998,0.9683,0.9846,27.6
logs_drive.txt,14,0.1053,0.0774,0.7755,0.9863,0.8041,0.969,0.9863,27.4
logs_drive.txt,15,0.105,0.0946,0.6909,0.9888,0.761,0.9644,0.9801,27.4
logs_drive.txt,16,0.104,0.0761,0.756,0.9886,0.8028,0.9695,0.9861,27.6
logs_drive.txt,17,0.1036,0.0825,0.8195,0.9803,0.8035,0.9671,0.9861,27.8
logs_drive.txt,18,0.1034,0.0825,0.8143,0.9821,0.8082,0.9683,0.9826,27.3
logs_drive.txt,19,0.1036,0.0762,0.7875,0.9855,0.8077,0.9692,0.9872,27.6
logs_drive.txt,20,0.1025,0.0772,0.7943,0.9847,0.8081,0.9691,0.9867,27.4
logs_drive.txt,21,0.1005,0.0785,0.82,0.9818,0.8105,0.9686,0.9854,27.2
logs_drive.txt,22,0.1003,0.0763,0.7941,0.9851,0.8099,0.9694,0.9873,27.3
logs_drive.txt,23,0.1003,0.077,0.783,0.986,0.8071,0.9693,0.9855,27.3
logs_drive.txt,24,0.0997,0.0782,0.8208,0.9819,0.8113,0.9687,0.9862,27.5
logs_drive.txt,25,0.1017,0.0771,0.7457,0.9891,0.7984,0.9691,0.9855,27.6
logs_drive.txt,26,0.1001,0.0761,0.7873,0.986,0.8099,0.9697,0.9872,27.3
logs_drive.txt,27,0.0996,0.0771,0.7914,0.9848,0.8069,0.9689,0.9863,28.1
logs_drive.txt,28,0.0994,0.0759,0.7834,0.986,0.8076,0.9694,0.9866,27.4
logs_drive.txt,29,0.0982,0.0762,0.7794,0.9863,0.8065,0.9693,0.9869,27.1
logs_drive.txt,30,0.0995,0.075,0.8135,0.9838,0.8157,0.9699,0.9884,27.4
logs_drive.txt,31,0.0997,0.078,0.8077,0.9831,0.809,0.9687,0.9859,27.4
logs_drive.txt,32,0.0986,0.0848,0.7338,0.9887,0.7891,0.9678,0.9815,27.1
logs_drive.txt,33,0.0989,0.0759,0.7815,0.9862,0.8071,0.9694,0.988,27.5
logs_drive.txt,34,0.0992,0.0751,0.7942,0.9852,0.8103,0.9695,0.988,27.2
logs_drive.txt,35,0.0984,0.0781,0.8019,0.9835,0.8075,0.9686,0.9866,28.1
logs_drive.txt,36,0.0972,0.0763,0.7752,0.9866,0.8055,0.9693,0.9873,27.3
logs_drive.txt,37,0.0983,0.0757,0.8012,0.9845,0.8113,0.9694,0.9872,27.2
logs_drive.txt,38,0.0972,0.0755,0.77,0.9873,0.8054,0.9695,0.987,28.1
logs_drive.txt,39,0.0986,0.0746,0.8024,0.9848,0.8136,0.9698,0.9874,27.3
logs_drive.txt,40,0.0971,0.0763,0.7692,0.9872,0.8044,0.9693,0.9867,27.1
logs_stare_final.txt,1,0.2171,0.1296,0.5681,0.9862,0.6508,0.9561,0.9442,26.4
logs_stare_final.txt,2,0.1514,0.1084,0.6136,0.9895,0.7017,0.9624,0.9625,25.6
logs_stare_final.txt,3,0.1393,0.1112,0.6616,0.9828,0.7028,0.9597,0.9596,25.8
logs_stare_final.txt,4,0.1303,0.103,0.6067,0.9916,0.7077,0.9639,0.9647,25.9
logs_stare_final.txt,5,0.1232,0.0999,0.596,0.9932,0.7078,0.9645,0.9688,25.9
logs_stare_final.txt,6,0.1184,0.0932,0.6592,0.99,0.7372,0.9661,0.9719,25.8
logs_stare_final.txt,7,0.1148,0.1002,0.5739,0.9934,0.6919,0.9632,0.9687,26.0
logs_stare_final.txt,8,0.1121,0.0901,0.647,0.9919,0.7388,0.967,0.9738,26.0
logs_stare_final.txt,9,0.1109,0.0865,0.7006,0.9887,0.7591,0.968,0.9738,26.3
logs_stare_final.txt,10,0.1034,0.0779,0.7326,0.989,0.7819,0.9706,0.9818,25.6
logs_stare_final.txt,11,0.1022,0.0788,0.7211,0.9887,0.7725,0.9694,0.9818,25.9
logs_stare_final.txt,12,0.0981,0.0767,0.7392,0.9886,0.7836,0.9706,0.9817,25.9
